tiff_file,start_date,end_date,precipitation_sum
NDMI_2022-04-09_to_2022-04-16.tif,2022-04-09,2022-04-16,0.0
NDMI_2022-04-16_to_2022-04-23.tif,2022-04-16,2022-04-23,0.0
NDMI_2022-04-23_to_2022-04-30.tif,2022-04-23,2022-04-30,0.0
NDMI_2022-04-30_to_2022-05-07.tif,2022-04-30,2022-05-07,0.0
NDMI_2022-05-07_to_2022-05-14.tif,2022-05-07,2022-05-14,0.0
NDMI_2022-05-14_to_2022-05-21.tif,2022-05-14,2022-05-21,0.0
NDMI_2022-05-21_to_2022-05-28.tif,2022-05-21,2022-05-28,0.0
NDMI_2022-05-28_to_2022-06-04.tif,2022-05-28,2022-06-04,0.0
NDMI_2022-06-04_to_2022-06-11.tif,2022-06-04,2022-06-11,0.0
NDMI_2022-06-11_to_2022-06-18.tif,2022-06-11,2022-06-18,0.83
NDMI_2022-06-18_to_2022-06-25.tif,2022-06-18,2022-06-25,4.3
NDMI_2022-06-25_to_2022-07-02.tif,2022-06-25,2022-07-02,0.27
NDMI_2022-09-02_to_2022-09-09.tif,2022-09-02,2022-09-09,0.0
NDMI_2022-09-16_to_2022-09-23.tif,2022-09-16,2022-09-23,0.0
NDMI_2022-09-23_to_2022-09-30.tif,2022-09-23,2022-09-30,0.0
NDMI_2022-09-30_to_2022-10-07.tif,2022-09-30,2022-10-07,0.0
NDMI_2022-10-07_to_2022-10-14.tif,2022-10-07,2022-10-14,0.0
NDMI_2022-10-14_to_2022-10-21.tif,2022-10-14,2022-10-21,0.0
NDMI_2022-10-21_to_2022-10-28.tif,2022-10-21,2022-10-28,0.0
NDMI_2022-10-28_to_2022-11-04.tif,2022-10-28,2022-11-04,0.0
NDMI_2022-11-11_to_2022-11-18.tif,2022-11-11,2022-11-18,0.0
NDMI_2022-11-25_to_2022-12-02.tif,2022-11-25,2022-12-02,0.0
NDMI_2022-12-02_to_2022-12-09.tif,2022-12-02,2022-12-09,0.0
NDMI_2022-12-09_to_2022-12-16.tif,2022-12-09,2022-12-16,0.0
NDMI_2022-12-16_to_2022-12-23.tif,2022-12-16,2022-12-23,0.0
NDMI_2022-12-30_to_2023-01-06.tif,2022-12-30,2023-01-06,0.0
NDMI_2023-01-01_to_2023-01-08.tif,2023-01-01,2023-01-08,0.0
NDMI_2023-01-08_to_2023-01-15.tif,2023-01-08,2023-01-15,0.0
NDMI_2023-01-15_to_2023-01-22.tif,2023-01-15,2023-01-22,0.0
NDMI_2023-01-22_to_2023-01-29.tif,2023-01-22,2023-01-29,0.0
NDMI_2023-01-29_to_2023-02-05.tif,2023-01-29,2023-02-05,0.0
NDMI_2023-03-05_to_2023-03-12.tif,2023-03-05,2023-03-12,0.0
NDMI_2023-03-26_to_2023-04-02.tif,2023-03-26,2023-04-02,0.0
NDMI_2023-04-02_to_2023-04-09.tif,2023-04-02,2023-04-09,0.0
NDMI_2023-04-09_to_2023-04-16.tif,2023-04-09,2023-04-16,0.0
NDMI_2023-04-16_to_2023-04-23.tif,2023-04-16,2023-04-23,6.51
NDMI_2023-04-30_to_2023-05-07.tif,2023-04-30,2023-05-07,9.66
NDMI_2023-05-07_to_2023-05-14.tif,2023-05-07,2023-05-14,0.0
NDMI_2023-05-14_to_2023-05-21.tif,2023-05-14,2023-05-21,0.56
NDMI_2023-05-21_to_2023-05-28.tif,2023-05-21,2023-05-28,8.74
NDMI_2023-06-04_to_2023-06-11.tif,2023-06-04,2023-06-11,0.84
NDMI_2023-06-11_to_2023-06-18.tif,2023-06-11,2023-06-18,0.0
NDMI_2023-06-18_to_2023-06-25.tif,2023-06-18,2023-06-25,0.0
NDMI_2023-07-01_to_2023-07-08.tif,2023-07-01,2023-07-08,17.060000000000002
NDMI_2023-08-12_to_2023-08-19.tif,2023-08-12,2023-08-19,0.62
NDMI_2023-08-26_to_2023-09-02.tif,2023-08-26,2023-09-02,0.0
NDMI_2023-09-02_to_2023-09-09.tif,2023-09-02,2023-09-09,0.0
NDMI_2023-09-09_to_2023-09-16.tif,2023-09-09,2023-09-16,0.0
NDMI_2023-09-16_to_2023-09-23.tif,2023-09-16,2023-09-23,0.0
NDMI_2023-09-23_to_2023-09-30.tif,2023-09-23,2023-09-30,3.24
NDMI_2023-09-30_to_2023-10-07.tif,2023-09-30,2023-10-07,0.0
NDMI_2023-10-07_to_2023-10-14.tif,2023-10-07,2023-10-14,0.0
NDMI_2023-10-21_to_2023-10-28.tif,2023-10-21,2023-10-28,0.0
NDMI_2023-10-28_to_2023-11-04.tif,2023-10-28,2023-11-04,0.0
NDMI_2023-11-11_to_2023-11-18.tif,2023-11-11,2023-11-18,0.0
NDMI_2023-12-16_to_2023-12-23.tif,2023-12-16,2023-12-23,0.0
NDMI_2024-01-29_to_2024-02-05.tif,2024-01-29,2024-02-05,3.83
NDMI_2024-02-05_to_2024-02-12.tif,2024-02-05,2024-02-12,0.0
NDMI_2024-02-12_to_2024-02-19.tif,2024-02-12,2024-02-19,0.0
NDMI_2024-02-19_to_2024-02-26.tif,2024-02-19,2024-02-26,6.25
NDMI_2024-03-11_to_2024-03-18.tif,2024-03-11,2024-03-18,0.15
NDMI_2024-03-25_to_2024-04-01.tif,2024-03-25,2024-04-01,0.0
NDMI_2024-04-22_to_2024-04-29.tif,2024-04-22,2024-04-29,0.18
NDMI_2024-04-29_to_2024-05-06.tif,2024-04-29,2024-05-06,0.0
NDMI_2024-05-06_to_2024-05-13.tif,2024-05-06,2024-05-13,0.0
NDMI_2024-05-13_to_2024-05-20.tif,2024-05-13,2024-05-20,0.0
NDMI_2024-05-20_to_2024-05-27.tif,2024-05-20,2024-05-27,0.0
NDMI_2024-05-27_to_2024-06-03.tif,2024-05-27,2024-06-03,0.0
NDMI_2024-06-03_to_2024-06-10.tif,2024-06-03,2024-06-10,0.51
NDMI_2024-06-10_to_2024-06-17.tif,2024-06-10,2024-06-17,0.0
NDMI_2024-06-17_to_2024-06-24.tif,2024-06-17,2024-06-24,0.0
NDMI_2024-07-15_to_2024-07-22.tif,2024-07-15,2024-07-22,0.18
