lat,lon,tz,date,units,cloud_cover,humidity,precipitation,temperature,pressure,wind
29.18483,71.49811,+05:00,2019-02-02,standard,{'afternoon': 0.0},{'afternoon': 60.0},{'total': 0.0},"{'min': 279.85, 'max': 293.25, 'afternoon': 289.15, 'night': 283.86, 'evening': 291.42, 'morning': 280.2}",{'afternoon': 1023.0},"{'max': {'speed': 2.89, 'direction': 354.0}}"
29.18483,71.49811,+05:00,2019-02-03,standard,{'afternoon': 2.0},{'afternoon': 56.0},{'total': 0.0},"{'min': 280.26, 'max': 295.97, 'afternoon': 291.33, 'night': 284.21, 'evening': 295.97, 'morning': 280.26}",{'afternoon': 1022.0},"{'max': {'speed': 2.65, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-02-04,standard,{'afternoon': 39.0},{'afternoon': 55.0},{'total': 0.0},"{'min': 281.38, 'max': 295.86, 'afternoon': 292.76, 'night': 285.81, 'evening': 294.4, 'morning': 281.41}",{'afternoon': 1022.0},"{'max': {'speed': 2.7, 'direction': 34.0}}"
29.18483,71.49811,+05:00,2019-02-05,standard,{'afternoon': 0.0},{'afternoon': 52.0},{'total': 0.35},"{'min': 284.13, 'max': 296.35, 'afternoon': 293.56, 'night': 287.39, 'evening': 295.27, 'morning': 284.67}",{'afternoon': 1019.0},"{'max': {'speed': 2.31, 'direction': 26.0}}"
29.18483,71.49811,+05:00,2019-02-06,standard,{'afternoon': 15.0},{'afternoon': 58.0},{'total': 1.02},"{'min': 285.01, 'max': 293.98, 'afternoon': 291.8, 'night': 289.99, 'evening': 292.05, 'morning': 285.01}",{'afternoon': 1014.0},"{'max': {'speed': 3.86, 'direction': 21.0}}"
29.18483,71.49811,+05:00,2019-02-07,standard,{'afternoon': 58.0},{'afternoon': 58.0},{'total': 2.23},"{'min': 282.95, 'max': 290.76, 'afternoon': 289.07, 'night': 285.59, 'evening': 288.83, 'morning': 282.95}",{'afternoon': 1012.0},"{'max': {'speed': 5.46, 'direction': 217.0}}"
29.18483,71.49811,+05:00,2019-02-08,standard,{'afternoon': 0.0},{'afternoon': 49.0},{'total': 0.0},"{'min': 281.75, 'max': 291.8, 'afternoon': 289.48, 'night': 285.19, 'evening': 291.1, 'morning': 282.65}",{'afternoon': 1019.0},"{'max': {'speed': 5.78, 'direction': 23.0}}"
29.18483,71.49811,+05:00,2019-02-09,standard,{'afternoon': 0.0},{'afternoon': 55.0},{'total': 0.0},"{'min': 280.38, 'max': 294.25, 'afternoon': 290.11, 'night': 285.09, 'evening': 291.3, 'morning': 281.21}",{'afternoon': 1022.0},"{'max': {'speed': 3.06, 'direction': 221.0}}"
29.18483,71.49811,+05:00,2019-02-10,standard,{'afternoon': 92.0},{'afternoon': 53.0},{'total': 0.0},"{'min': 281.54, 'max': 294.38, 'afternoon': 292.05, 'night': 284.48, 'evening': 293.74, 'morning': 282.91}",{'afternoon': 1022.0},"{'max': {'speed': 2.38, 'direction': 189.0}}"
29.18483,71.49811,+05:00,2019-02-11,standard,{'afternoon': 93.0},{'afternoon': 51.0},{'total': 0.0},"{'min': 282.86, 'max': 294.81, 'afternoon': 293.09, 'night': 286.22, 'evening': 292.09, 'morning': 283.09}",{'afternoon': 1023.0},"{'max': {'speed': 2.29, 'direction': 84.0}}"
29.18483,71.49811,+05:00,2019-02-12,standard,{'afternoon': 83.0},{'afternoon': 58.0},{'total': 0.0},"{'min': 284.89, 'max': 294.94, 'afternoon': 293.32, 'night': 288.07, 'evening': 293.21, 'morning': 285.17}",{'afternoon': 1022.0},"{'max': {'speed': 4.09, 'direction': 33.0}}"
29.18483,71.49811,+05:00,2019-02-13,standard,{'afternoon': 99.0},{'afternoon': 58.0},{'total': 0.0},"{'min': 284.68, 'max': 294.39, 'afternoon': 291.62, 'night': 287.34, 'evening': 293.87, 'morning': 284.68}",{'afternoon': 1021.0},"{'max': {'speed': 4.65, 'direction': 35.0}}"
29.18483,71.49811,+05:00,2019-02-14,standard,{'afternoon': 0.0},{'afternoon': 57.0},{'total': 0.0},"{'min': 286.52, 'max': 296.23, 'afternoon': 293.22, 'night': 288.53, 'evening': 296.23, 'morning': 286.52}",{'afternoon': 1016.0},"{'max': {'speed': 4.47, 'direction': 355.0}}"
29.18483,71.49811,+05:00,2019-02-15,standard,{'afternoon': 12.0},{'afternoon': 62.0},{'total': 0.0},"{'min': 283.29, 'max': 295.44, 'afternoon': 292.15, 'night': 289.14, 'evening': 294.89, 'morning': 283.62}",{'afternoon': 1019.0},"{'max': {'speed': 2.47, 'direction': 359.0}}"
29.18483,71.49811,+05:00,2019-02-16,standard,{'afternoon': 0.0},{'afternoon': 59.0},{'total': 0.0},"{'min': 284.15, 'max': 296.12, 'afternoon': 293.35, 'night': 286.62, 'evening': 295.71, 'morning': 284.63}",{'afternoon': 1020.0},"{'max': {'speed': 2.66, 'direction': 81.0}}"
29.18483,71.49811,+05:00,2019-02-17,standard,{'afternoon': 90.0},{'afternoon': 59.0},{'total': 0.57},"{'min': 283.83, 'max': 296.68, 'afternoon': 290.87, 'night': 287.17, 'evening': 296.57, 'morning': 284.38}",{'afternoon': 1016.0},"{'max': {'speed': 3.44, 'direction': 185.0}}"
29.18483,71.49811,+05:00,2019-02-18,standard,{'afternoon': 13.0},{'afternoon': 59.0},{'total': 0.0},"{'min': 284.44, 'max': 294.16, 'afternoon': 291.49, 'night': 289.32, 'evening': 292.51, 'morning': 285.18}",{'afternoon': 1009.0},"{'max': {'speed': 5.22, 'direction': 4.0}}"
29.18483,71.49811,+05:00,2019-02-19,standard,{'afternoon': 90.0},{'afternoon': 72.0},{'total': 0.0},"{'min': 282.77, 'max': 293.47, 'afternoon': 290.48, 'night': 286.51, 'evening': 293.19, 'morning': 282.77}",{'afternoon': 1014.0},"{'max': {'speed': 4.77, 'direction': 10.0}}"
29.18483,71.49811,+05:00,2019-02-20,standard,{'afternoon': 100.0},{'afternoon': 95.0},{'total': 27.9},"{'min': 284.57, 'max': 288.36, 'afternoon': 285.58, 'night': 288.36, 'evening': 285.15, 'morning': 286.11}",{'afternoon': 1017.0},"{'max': {'speed': 5.8, 'direction': 4.0}}"
29.18483,71.49811,+05:00,2019-02-21,standard,{'afternoon': 16.0},{'afternoon': 74.0},{'total': 3.21},"{'min': 283.74, 'max': 293.12, 'afternoon': 288.92, 'night': 285.17, 'evening': 292.12, 'morning': 283.74}",{'afternoon': 1019.0},"{'max': {'speed': 4.73, 'direction': 360.0}}"
29.18483,71.49811,+05:00,2019-02-22,standard,{'afternoon': 5.0},{'afternoon': 66.0},{'total': 0.0},"{'min': 284.06, 'max': 294.91, 'afternoon': 291.61, 'night': 286.85, 'evening': 294.27, 'morning': 284.06}",{'afternoon': 1021.0},"{'max': {'speed': 2.72, 'direction': 32.0}}"
29.18483,71.49811,+05:00,2019-02-23,standard,{'afternoon': 92.0},{'afternoon': 58.0},{'total': 0.0},"{'min': 283.46, 'max': 295.84, 'afternoon': 293.5, 'night': 287.34, 'evening': 293.78, 'morning': 283.64}",{'afternoon': 1019.0},"{'max': {'speed': 2.49, 'direction': 199.0}}"
29.18483,71.49811,+05:00,2019-02-24,standard,{'afternoon': 0.0},{'afternoon': 55.0},{'total': 0.0},"{'min': 283.47, 'max': 298.07, 'afternoon': 293.64, 'night': 288.09, 'evening': 297.55, 'morning': 283.47}",{'afternoon': 1012.0},"{'max': {'speed': 2.56, 'direction': 198.0}}"
29.18483,71.49811,+05:00,2019-02-25,standard,{'afternoon': 0.0},{'afternoon': 41.0},{'total': 0.0},"{'min': 284.56, 'max': 297.24, 'afternoon': 294.92, 'night': 287.75, 'evening': 293.72, 'morning': 284.56}",{'afternoon': 1012.0},"{'max': {'speed': 3.36, 'direction': 321.0}}"
29.18483,71.49811,+05:00,2019-02-26,standard,{'afternoon': 96.0},{'afternoon': 62.0},{'total': 0.15},"{'min': 283.93, 'max': 293.56, 'afternoon': 290.36, 'night': 287.25, 'evening': 292.2, 'morning': 283.93}",{'afternoon': 1014.0},"{'max': {'speed': 3.13, 'direction': 23.0}}"
29.18483,71.49811,+05:00,2019-02-27,standard,{'afternoon': 16.0},{'afternoon': 60.0},{'total': 0.11},"{'min': 283.67, 'max': 294.08, 'afternoon': 291.06, 'night': 286.47, 'evening': 292.59, 'morning': 284.66}",{'afternoon': 1014.0},"{'max': {'speed': 4.25, 'direction': 13.0}}"
29.18483,71.49811,+05:00,2019-02-28,standard,{'afternoon': 0.0},{'afternoon': 50.0},{'total': 0.0},"{'min': 283.8, 'max': 296.14, 'afternoon': 292.87, 'night': 286.04, 'evening': 295.33, 'morning': 283.86}",{'afternoon': 1017.0},"{'max': {'speed': 2.85, 'direction': 83.0}}"
29.18483,71.49811,+05:00,2019-03-01,standard,{'afternoon': 77.0},{'afternoon': 59.0},{'total': 0.75},"{'min': 286.87, 'max': 292.55, 'afternoon': 290.43, 'night': 289.9, 'evening': 291.7, 'morning': 287.77}",{'afternoon': 1016.0},"{'max': {'speed': 6.04, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-03-02,standard,{'afternoon': 91.0},{'afternoon': 76.0},{'total': 11.16},"{'min': 284.79, 'max': 289.02, 'afternoon': 288.04, 'night': 286.3, 'evening': 285.97, 'morning': 285.43}",{'afternoon': 1015.0},"{'max': {'speed': 6.34, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-03-03,standard,{'afternoon': 97.0},{'afternoon': 80.0},{'total': 0.0},"{'min': 285.17, 'max': 290.38, 'afternoon': 288.46, 'night': 285.5, 'evening': 289.76, 'morning': 285.6}",{'afternoon': 1015.0},"{'max': {'speed': 6.89, 'direction': 16.0}}"
29.18483,71.49811,+05:00,2019-03-04,standard,{'afternoon': 1.0},{'afternoon': 67.0},{'total': 0.0},"{'min': 284.27, 'max': 295.9, 'afternoon': 291.95, 'night': 286.95, 'evening': 295.46, 'morning': 284.41}",{'afternoon': 1014.0},"{'max': {'speed': 3.37, 'direction': 350.0}}"
29.18483,71.49811,+05:00,2019-03-05,standard,{'afternoon': 0.0},{'afternoon': 64.0},{'total': 0.0},"{'min': 284.43, 'max': 298.34, 'afternoon': 294.52, 'night': 288.18, 'evening': 297.86, 'morning': 284.43}",{'afternoon': 1013.0},"{'max': {'speed': 2.67, 'direction': 169.0}}"
29.18483,71.49811,+05:00,2019-03-06,standard,{'afternoon': 0.0},{'afternoon': 45.0},{'total': 0.0},"{'min': 285.42, 'max': 299.15, 'afternoon': 296.61, 'night': 287.19, 'evening': 297.81, 'morning': 285.84}",{'afternoon': 1014.0},"{'max': {'speed': 2.51, 'direction': 177.0}}"
29.18483,71.49811,+05:00,2019-03-07,standard,{'afternoon': 2.0},{'afternoon': 50.0},{'total': 1.36},"{'min': 287.33, 'max': 300.63, 'afternoon': 297.78, 'night': 289.85, 'evening': 298.29, 'morning': 287.91}",{'afternoon': 1013.0},"{'max': {'speed': 2.69, 'direction': 350.0}}"
29.18483,71.49811,+05:00,2019-03-08,standard,{'afternoon': 31.0},{'afternoon': 71.0},{'total': 3.58},"{'min': 287.59, 'max': 295.44, 'afternoon': 291.9, 'night': 291.07, 'evening': 294.37, 'morning': 288.1}",{'afternoon': 1017.0},"{'max': {'speed': 5.34, 'direction': 13.0}}"
29.18483,71.49811,+05:00,2019-03-09,standard,{'afternoon': 0.0},{'afternoon': 55.0},{'total': 0.0},"{'min': 285.16, 'max': 298.31, 'afternoon': 294.86, 'night': 289.28, 'evening': 298.31, 'morning': 285.2}",{'afternoon': 1018.0},"{'max': {'speed': 3.27, 'direction': 2.0}}"
29.18483,71.49811,+05:00,2019-03-10,standard,{'afternoon': 23.0},{'afternoon': 47.0},{'total': 2.02},"{'min': 287.22, 'max': 298.58, 'afternoon': 296.76, 'night': 289.81, 'evening': 296.71, 'morning': 287.22}",{'afternoon': 1015.0},"{'max': {'speed': 3.62, 'direction': 122.0}}"
29.18483,71.49811,+05:00,2019-03-11,standard,{'afternoon': 40.0},{'afternoon': 67.0},{'total': 3.12},"{'min': 286.62, 'max': 295.33, 'afternoon': 291.55, 'night': 289.1, 'evening': 294.12, 'morning': 286.87}",{'afternoon': 1015.0},"{'max': {'speed': 3.37, 'direction': 41.0}}"
29.18483,71.49811,+05:00,2019-03-12,standard,{'afternoon': 35.0},{'afternoon': 60.0},{'total': 0.0},"{'min': 286.06, 'max': 295.74, 'afternoon': 293.68, 'night': 289.03, 'evening': 294.76, 'morning': 287.09}",{'afternoon': 1021.0},"{'max': {'speed': 3.93, 'direction': 34.0}}"
29.18483,71.49811,+05:00,2019-03-13,standard,{'afternoon': 31.0},{'afternoon': 56.0},{'total': 2.14},"{'min': 286.26, 'max': 297.35, 'afternoon': 295.69, 'night': 289.68, 'evening': 294.42, 'morning': 286.26}",{'afternoon': 1018.0},"{'max': {'speed': 3.09, 'direction': 356.0}}"
29.18483,71.49811,+05:00,2019-03-14,standard,{'afternoon': 17.0},{'afternoon': 58.0},{'total': 0.0},"{'min': 286.63, 'max': 297.26, 'afternoon': 294.62, 'night': 288.8, 'evening': 295.72, 'morning': 287.34}",{'afternoon': 1020.0},"{'max': {'speed': 4.11, 'direction': 33.0}}"
29.18483,71.49811,+05:00,2019-03-15,standard,{'afternoon': 2.0},{'afternoon': 53.0},{'total': 0.0},"{'min': 287.2, 'max': 298.6, 'afternoon': 296.12, 'night': 289.17, 'evening': 298.23, 'morning': 287.2}",{'afternoon': 1022.0},"{'max': {'speed': 2.52, 'direction': 2.0}}"
29.18483,71.49811,+05:00,2019-03-16,standard,{'afternoon': 93.0},{'afternoon': 51.0},{'total': 0.0},"{'min': 287.79, 'max': 299.38, 'afternoon': 296.85, 'night': 291.28, 'evening': 298.04, 'morning': 287.95}",{'afternoon': 1019.0},"{'max': {'speed': 2.26, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-03-17,standard,{'afternoon': 0.0},{'afternoon': 49.0},{'total': 0.0},"{'min': 288.76, 'max': 302.08, 'afternoon': 298.9, 'night': 292.37, 'evening': 301.53, 'morning': 288.89}",{'afternoon': 1017.0},"{'max': {'speed': 2.56, 'direction': 237.0}}"
29.18483,71.49811,+05:00,2019-03-18,standard,{'afternoon': 100.0},{'afternoon': 54.0},{'total': 0.17},"{'min': 289.91, 'max': 300.05, 'afternoon': 298.18, 'night': 292.6, 'evening': 298.48, 'morning': 290.5}",{'afternoon': 1017.0},"{'max': {'speed': 4.8, 'direction': 233.0}}"
29.18483,71.49811,+05:00,2019-03-19,standard,{'afternoon': 6.0},{'afternoon': 52.0},{'total': 0.0},"{'min': 288.47, 'max': 302.26, 'afternoon': 298.41, 'night': 291.57, 'evening': 300.71, 'morning': 288.47}",{'afternoon': 1010.0},"{'max': {'speed': 4.83, 'direction': 8.0}}"
29.18483,71.49811,+05:00,2019-03-20,standard,{'afternoon': 0.0},{'afternoon': 54.0},{'total': 0.0},"{'min': 290.76, 'max': 300.24, 'afternoon': 296.48, 'night': 294.48, 'evening': 299.21, 'morning': 290.87}",{'afternoon': 1012.0},"{'max': {'speed': 6.09, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-03-21,standard,{'afternoon': 8.0},{'afternoon': 43.0},{'total': 0.0},"{'min': 289.09, 'max': 300.92, 'afternoon': 299.61, 'night': 292.85, 'evening': 300.08, 'morning': 290.11}",{'afternoon': 1017.0},"{'max': {'speed': 4.18, 'direction': 27.0}}"
29.18483,71.49811,+05:00,2019-03-22,standard,{'afternoon': 4.0},{'afternoon': 45.0},{'total': 0.0},"{'min': 289.52, 'max': 302.83, 'afternoon': 300.2, 'night': 293.75, 'evening': 302.06, 'morning': 289.91}",{'afternoon': 1018.0},"{'max': {'speed': 2.87, 'direction': 10.0}}"
29.18483,71.49811,+05:00,2019-03-23,standard,{'afternoon': 43.0},{'afternoon': 48.0},{'total': 0.0},"{'min': 290.26, 'max': 302.31, 'afternoon': 299.7, 'night': 293.41, 'evening': 301.28, 'morning': 291.22}",{'afternoon': 1016.0},"{'max': {'speed': 5.21, 'direction': 24.0}}"
