area_irrigated_pixels,average_amount_mm,weekly_precipitation_mm,tiff_file,start_date,end_date
0,0.0,0.0,NDMI_2023-01-29_to_2023-02-05.tif,2023-01-29,2023-02-05
0,0.0,0.0,NDMI_2023-03-05_to_2023-03-12.tif,2023-03-05,2023-03-12
0,0.0,0.0,NDMI_2023-03-26_to_2023-04-02.tif,2023-03-26,2023-04-02
0,0.0,0.0,NDMI_2023-04-02_to_2023-04-09.tif,2023-04-02,2023-04-09
6,11.983547732234001,0.0,NDMI_2023-04-09_to_2023-04-16.tif,2023-04-09,2023-04-16
0,0.0,6.51,NDMI_2023-04-16_to_2023-04-23.tif,2023-04-16,2023-04-23
0,0.0,9.66,NDMI_2023-04-30_to_2023-05-07.tif,2023-04-30,2023-05-07
16,11.778678046539426,0.0,NDMI_2023-05-07_to_2023-05-14.tif,2023-05-07,2023-05-14
51,12.785765629235438,0.56,NDMI_2023-05-14_to_2023-05-21.tif,2023-05-14,2023-05-21
0,0.0,8.74,NDMI_2023-05-21_to_2023-05-28.tif,2023-05-21,2023-05-28
73,18.39267058517835,0.84,NDMI_2023-06-04_to_2023-06-11.tif,2023-06-04,2023-06-11
0,0.0,0.0,NDMI_2023-06-11_to_2023-06-18.tif,2023-06-11,2023-06-18
0,0.0,0.0,NDMI_2023-06-18_to_2023-06-25.tif,2023-06-18,2023-06-25
3,0.0,17.060000000000002,NDMI_2023-07-01_to_2023-07-08.tif,2023-07-01,2023-07-08
327,30.600760289864443,0.62,NDMI_2023-08-12_to_2023-08-19.tif,2023-08-12,2023-08-19
0,0.0,0.0,NDMI_2023-08-26_to_2023-09-02.tif,2023-08-26,2023-09-02
0,0.0,0.0,NDMI_2023-09-02_to_2023-09-09.tif,2023-09-02,2023-09-09
0,0.0,0.0,NDMI_2023-09-09_to_2023-09-16.tif,2023-09-09,2023-09-16
0,0.0,0.0,NDMI_2023-09-16_to_2023-09-23.tif,2023-09-16,2023-09-23
0,0.0,3.24,NDMI_2023-09-23_to_2023-09-30.tif,2023-09-23,2023-09-30
0,0.0,0.0,NDMI_2023-09-30_to_2023-10-07.tif,2023-09-30,2023-10-07
0,0.0,0.0,NDMI_2023-10-07_to_2023-10-14.tif,2023-10-07,2023-10-14
0,0.0,0.0,NDMI_2023-10-21_to_2023-10-28.tif,2023-10-21,2023-10-28
5,11.576525419950485,0.0,NDMI_2023-10-28_to_2023-11-04.tif,2023-10-28,2023-11-04
243,17.69764782408628,0.0,NDMI_2023-11-11_to_2023-11-18.tif,2023-11-11,2023-11-18
219,22.877426884353977,0.0,NDMI_2023-12-16_to_2023-12-23.tif,2023-12-16,2023-12-23
200,15.990381812751293,3.83,NDMI_2024-01-29_to_2024-02-05.tif,2024-01-29,2024-02-05
0,0.0,0.0,NDMI_2024-02-05_to_2024-02-12.tif,2024-02-05,2024-02-12
0,0.0,0.0,NDMI_2024-02-12_to_2024-02-19.tif,2024-02-12,2024-02-19
93,9.12836034611989,6.25,NDMI_2024-02-19_to_2024-02-26.tif,2024-02-19,2024-02-26
2,10.731423205137252,0.15,NDMI_2024-03-11_to_2024-03-18.tif,2024-03-11,2024-03-18
0,0.0,0.0,NDMI_2024-03-25_to_2024-04-01.tif,2024-03-25,2024-04-01
0,0.0,0.18,NDMI_2024-04-22_to_2024-04-29.tif,2024-04-22,2024-04-29
64,14.17197046102956,0.0,NDMI_2024-04-29_to_2024-05-06.tif,2024-04-29,2024-05-06
0,0.0,0.0,NDMI_2024-05-06_to_2024-05-13.tif,2024-05-06,2024-05-13
48,12.585419695824385,0.0,NDMI_2024-05-13_to_2024-05-20.tif,2024-05-13,2024-05-20
72,11.713883032401403,0.0,NDMI_2024-05-20_to_2024-05-27.tif,2024-05-20,2024-05-27
1,11.205950379371643,0.0,NDMI_2024-05-27_to_2024-06-03.tif,2024-05-27,2024-06-03
22,10.949608443758708,0.51,NDMI_2024-06-03_to_2024-06-10.tif,2024-06-03,2024-06-10
91,11.361060455277725,0.0,NDMI_2024-06-10_to_2024-06-17.tif,2024-06-10,2024-06-17
0,0.0,0.0,NDMI_2024-06-17_to_2024-06-24.tif,2024-06-17,2024-06-24
109,15.676876292633349,0.18,NDMI_2024-07-15_to_2024-07-22.tif,2024-07-15,2024-07-22
0,0.0,0.0,NDMI_2024-09-09_to_2024-09-16.tif,2024-09-09,2024-09-16
0,0.0,0.0,NDMI_2024-09-16_to_2024-09-23.tif,2024-09-16,2024-09-23
0,0.0,0.0,NDMI_2024-09-23_to_2024-09-30.tif,2024-09-23,2024-09-30
0,0.0,0.0,NDMI_2024-09-30_to_2024-10-07.tif,2024-09-30,2024-10-07
0,0.0,0.0,NDMI_2024-10-07_to_2024-10-14.tif,2024-10-07,2024-10-14
0,0.0,0.0,NDMI_2024-10-21_to_2024-10-28.tif,2024-10-21,2024-10-28
0,0.0,0.0,NDMI_2024-10-28_to_2024-11-04.tif,2024-10-28,2024-11-04
0,0.0,0.0,NDMI_2024-11-04_to_2024-11-11.tif,2024-11-04,2024-11-11
90,11.82244254483117,0.0,NDMI_2024-11-11_to_2024-11-18.tif,2024-11-11,2024-11-18
2,13.088198006153107,0.0,NDMI_2024-11-18_to_2024-11-25.tif,2024-11-18,2024-11-25
5,11.177839040756226,0.0,NDMI_2024-11-25_to_2024-12-02.tif,2024-11-25,2024-12-02
11,15.988025543364612,0.0,NDMI_2024-12-02_to_2024-12-09.tif,2024-12-02,2024-12-09
119,11.970918738291044,0.0,NDMI_2024-12-09_to_2024-12-16.tif,2024-12-09,2024-12-16
